aktinium;Ac
uhličitan zinečnatý;ZnCO3
trioxouhličitan zinečnatý;
uhličitan železnatý;FeCO3
trioxouhličitan železnatý;
uhličitan-dioxid bismutitý;Bi2(CO3)O2
uhlík;C
undekajodid hexaniobu;Nb6I11
undekaoxid hexapraseodymu;Pr6O11
undekaoxid tetrawolframu;W4O11
uran;U
uranan draselný;K2UO4
uranan didraselný;
tetraoxouranan draselný;
tetraoxouranan didraselný;
uranan manganatý;MnUO4
tetraoxouranan manganatý;
uranan sodný;Na2UO4
uranan disodný;
tetraoxouranan sodný;
tetraoxouranan disodný;
vanad;V
vanadičnan amonný;NH4VO3
trioxovanadičnan amonný;
vanadičnan ceritý;CeVO4
tetraoxovanadičnan ceritý;
vanadičnan draselný;KVO3
trioxovanadičnan draselný;
vanadičnan dysprositý;DyVO4
tetraoxovanadičnan dysprositý;
vanadičnan erbitý;ErVO4
tetraoxovanadičnan erbitý;
vanadičnan europitý;EuVO4
tetraoxovanadičnan europitý;
vanadičnan gadolinitý;GdVO4
tetraoxovanadičnan gadolinitý;
vanadičnan holmitý;HoVO4
tetraoxovanadičnan holmitý;
vanadičnan lutecitý;LuVO4
tetraoxovanadičnan lutecitý;
vanadičnan neodymitý;NdVO4
tetraoxovanadičnan neodymitý;
vanadičnan praseodymitý;PrVO4
tetraoxovanadičnan praseodymitý;
vanadičnan rubidný;RbVO3
trioxovanadičnan rubidný;
vanadičnan samaritý;SmVO4
tetraoxovanadičnan samaritý;
vanadičnan skanditý;ScVO4
tetraoxovanadičnan skanditý;
vanadičnan sodný;NaVO3
trioxovanadičnan sodný;
vanadičnan terbitý;TbVO4
tetraoxovanadičnan terbitý;
vanadičnan thallný;TlVO3
trioxovanadičnan thallný;
vanadičnan triolovnatý;Pb3(VO4)2
tetraoxovanadičnan olovnatý;
tetraoxovanadičnan triolovnatý;
bis(vanadičnan) triolovnatý;
vanadičnan trisodný;Na3VO4
tetraoxovanadičnan sodný;
tetraoxovanadičnan trisodný;
vanadičnan ytterbitý;YbVO4
tetraoxovanadičnan ytterbitý;
vanadičnan yttritý;YVO4
tetraoxovanadičnan yttritý;
vápník;Ca
vodík;H
wolfram;W
wolframan barnatý;BaWO4
tetraoxowolframan barnatý;
wolframan ceritý;Ce2(WO4)3
wolframan diceritý;
tetraoxowolframan ceritý;
tetraoxowolframan diceritý;
tris(wolframan) ceritý;
tris(wolframan) diceritý;
wolframan hořečnatý;MgWO4
tetraoxowolframan hořečnatý;
wolframan lithný;Li2WO4
wolframan dilithný;
tetraoxowolframan lithný;
tetraoxowolframan dilithný;
wolframan manganatý;MnWO4
tetraoxowolframan manganatý;
wolframan olovnatý;PbWO4
tetraoxowolframan olovnatý;
wolframan sodný;Na2WO4
wolframan disodný;
tetraoxowolframan sodný;
tetraoxowolframan disodný;
wolframan stříbrný;Ag2WO4
wolframan distříbrný;
tetraoxowolframan stříbrný;
tetraoxowolframan distříbrný;
wolframan vápenatý;CaWO4
tetraoxowolframan vápenatý;
xenon;Xe
ytterbium;Yb
yttrium;Y
zinek;Zn
zirkoničitan vápenatý;CaZrO3
trioxozirkoničitan vápenatý;
zirkonium;Zr
zlato;Au
železo;Fe
13-oxid hexavanadu;V6O13
14-jodid hexatantalu;Ta6I14
